2021-07-05 SQIB in PMMA 40mgmL medium spin speed dried at 60C
Wavelength (nm)	No1 10pct	No2 4pct	No3 2pct	No4 1pct	No5 0.5pct
668.054321	0.086622	0.216976	0.404331	0.561564	0.704514	
669.648315	0.097579	0.242608	0.438480	0.590769	0.725218	
671.242310	0.110763	0.272117	0.474397	0.619894	0.745007	
672.836121	0.126545	0.304704	0.511459	0.647920	0.764023	
674.429871	0.145208	0.340167	0.548433	0.674298	0.781587	
676.023560	0.166796	0.378158	0.584564	0.698698	0.796859	
677.617126	0.191444	0.418473	0.619034	0.721166	0.809877	
679.210571	0.220165	0.459435	0.651588	0.741455	0.821701	
680.804016	0.251851	0.500980	0.681309	0.758662	0.831784	
682.397339	0.286719	0.541588	0.708086	0.773381	0.839657	
683.990479	0.324056	0.580520	0.730924	0.785899	0.846611	
685.583618	0.363816	0.616948	0.751463	0.796411	0.852238	
687.176636	0.405248	0.650872	0.768971	0.805306	0.856842	
688.769470	0.446748	0.681334	0.783557	0.812439	0.860317	
690.362305	0.488886	0.708838	0.795913	0.817775	0.863139	
691.955017	0.529582	0.732613	0.806086	0.822489	0.865840	
693.547607	0.567541	0.752987	0.814566	0.826274	0.867154	
695.140137	0.603177	0.770796	0.821300	0.829055	0.868763	
696.732544	0.635514	0.785735	0.826450	0.831482	0.869964	
698.324829	0.664666	0.797687	0.831338	0.833025	0.870504	
699.917053	0.690589	0.808104	0.835003	0.834656	0.871144	
701.509155	0.712310	0.816808	0.838694	0.836324	0.871594	
703.101196	0.731115	0.823805	0.840656	0.836434	0.872117	
704.693054	0.747541	0.829524	0.842984	0.837581	0.871975	
706.284851	0.761243	0.834711	0.845018	0.838990	0.872454	
707.876587	0.772697	0.839108	0.846035	0.839334	0.872363	
709.468140	0.782553	0.842850	0.847514	0.839847	0.872697	
711.059631	0.791124	0.845556	0.849077	0.839652	0.872809	
712.651001	0.798348	0.848200	0.849588	0.840754	0.873060	
714.242249	0.804639	0.850670	0.850176	0.840961	0.872935	
715.833374	0.810199	0.852342	0.851427	0.840918	0.872992	
717.424438	0.815173	0.854380	0.852148	0.841472	0.873024	
719.015442	0.819639	0.856135	0.852902	0.841630	0.873095	
720.606262	0.822875	0.858016	0.853302	0.842102	0.873152	
722.196960	0.826992	0.859017	0.853200	0.841858	0.873090	
723.787598	0.829164	0.860093	0.854128	0.841887	0.872307	
725.378052	0.831321	0.860681	0.853700	0.842028	0.872684	
726.968445	0.834060	0.862678	0.854907	0.842103	0.873087	
728.558716	0.837275	0.863367	0.855337	0.842928	0.872820	
730.148926	0.839157	0.864811	0.855554	0.843524	0.873450	
731.738953	0.841162	0.865137	0.855782	0.842869	0.872964	
733.328918	0.842928	0.865658	0.856328	0.842931	0.873069	
734.918762	0.844014	0.866129	0.856365	0.842865	0.872389	
736.508423	0.846044	0.865997	0.856316	0.843297	0.872389	
738.098022	0.847199	0.866833	0.856686	0.843094	0.872467	
739.687561	0.848891	0.867071	0.857010	0.842673	0.871961	
741.276917	0.849769	0.867461	0.856752	0.843188	0.872562	
742.866150	0.850603	0.867962	0.857050	0.843606	0.872110	
744.455322	0.851198	0.868309	0.857294	0.843068	0.872535	
