2021-07-05 SQIB 5mg/mL no annealing high = medium spin speed
Wavelength (nm)	No8 SQIB neat	No9 SQIB neat
962.378906	0.855389	0.835805	
963.946167	0.854842	0.837172	
965.513367	0.855466	0.838274	
967.080383	0.854220	0.837469	
968.647156	0.855007	0.837923	
970.213684	0.854775	0.838540	
971.780090	0.856154	0.838927	
973.346313	0.855547	0.839599	
974.912231	0.854242	0.838114	
976.478027	0.854530	0.838553	
978.043579	0.854093	0.839113	
979.609009	0.855012	0.838987	
981.174133	0.855767	0.839520	
982.739075	0.856072	0.839708	
984.303833	0.855381	0.840122	
985.868347	0.856292	0.840228	
987.432739	0.856607	0.839528	
988.996887	0.855915	0.840818	
990.560852	0.856511	0.839613	
992.124634	0.854909	0.841046	
993.688171	0.855200	0.840171	
995.251465	0.856538	0.842748	
996.814575	0.856978	0.843229	
998.377563	0.854915	0.841925	
999.940247	0.856535	0.842031	
1013.382019	0.860002	0.844151	
1016.810181	0.854818	0.844273	
1020.238159	0.862148	0.844786	
1023.666199	0.861041	0.843911	
1027.094238	0.859600	0.846284	
1030.522217	0.859520	0.845249	
1033.950073	0.853923	0.846201	
1037.378174	0.864487	0.845590	
1040.805908	0.863978	0.844947	
1044.233887	0.859226	0.846230	
1047.661865	0.863589	0.848323	
1051.089722	0.862678	0.848901	
1054.517578	0.865440	0.849074	
1057.945557	0.861370	0.848032	
1061.373413	0.867755	0.851272	
1064.801392	0.863501	0.849183	
1068.229248	0.869323	0.856729	
1071.657227	0.866945	0.852577	
1075.085205	0.872824	0.860894	
1078.513184	0.870151	0.856243	
1081.941162	0.874774	0.861164	
1085.369263	0.870329	0.858879	
1088.797241	0.875218	0.864044	
1092.225342	0.872940	0.862318	
1095.653564	0.876113	0.864132	
1099.081787	0.874013	0.864201	
1102.510010	0.877154	0.864508	
1105.938232	0.877920	0.866342	
1109.366577	0.878954	0.865877	
1112.795044	0.877337	0.865838	
1116.223389	0.874929	0.866713	
1119.651978	0.878743	0.868191	
1123.080566	0.879680	0.867270	
1126.509155	0.875618	0.867218	
1129.937866	0.874692	0.866661	
1133.366699	0.875606	0.868876	
1136.795654	0.878069	0.868360	
1140.224487	0.880091	0.869711	
1143.653564	0.880486	0.867426	
1147.082764	0.883338	0.870791	
1150.511963	0.879507	0.869286	
1153.941162	0.879738	0.871671	
1157.370605	0.874884	0.867542	
1160.800049	0.883399	0.870258	
1164.229736	0.875420	0.867840	
1167.659424	0.880916	0.872814	
1171.089233	0.875334	0.869684	
1174.519165	0.882196	0.872469	
1177.949219	0.877867	0.870722	
1181.379395	0.882242	0.873070	
1184.809814	0.877703	0.868161	
1188.240112	0.882532	0.874440	
1191.670654	0.878247	0.869616	
1195.101318	0.882553	0.874630	
1198.532227	0.878043	0.869685	
1201.963135	0.886181	0.875160	
1205.394287	0.882101	0.870555	
1208.825562	0.881900	0.875768	
1212.256958	0.881460	0.869780	
1215.688477	0.883678	0.875567	
1219.120239	0.880656	0.870771	
1222.552124	0.883299	0.876078	
1225.984131	0.876800	0.870815	
1229.416260	0.877421	0.876792	
1232.848755	0.879633	0.872159	
1236.281250	0.885424	0.877842	
1239.713989	0.882681	0.870616	
1243.146851	0.884664	0.873774	
1246.579956	0.880066	0.873311	
1250.013306	0.887421	0.875952	
1253.446655	0.883558	0.873307	
1256.880371	0.889096	0.881084	
1260.314209	0.886270	0.875253	
1263.748291	0.885398	0.877922	
1267.182495	0.882372	0.872099	
1270.616943	0.885322	0.879102	
1274.051514	0.881879	0.875212	
1277.486450	0.885231	0.879607	
1280.921631	0.884697	0.874161	
1284.356812	0.891596	0.881313	
1287.792358	0.878791	0.874602	
1291.228149	0.884890	0.881012	
1294.664063	0.877836	0.874977	
1298.100342	0.888426	0.882805	
1301.536743	0.880199	0.878485	
1304.973389	0.885764	0.883769	
1308.410400	0.882365	0.875810	
1311.847534	0.892086	0.884438	
1315.284912	0.883814	0.877831	
1318.722534	0.895757	0.884852	
1322.160522	0.888513	0.877204	
1325.598755	0.892392	0.885985	
1329.037109	0.885120	0.878815	
1332.475830	0.891614	0.887395	
1335.914795	0.885576	0.878884	
1339.354004	0.894982	0.887306	
1342.793579	0.888600	0.881784	
1346.233276	0.896170	0.886055	
1349.673462	0.890127	0.882265	
1353.113770	0.898538	0.886354	
1356.554443	0.896073	0.886416	
1359.995361	0.896576	0.881582	
1363.436523	0.899447	0.888809	
1366.878052	0.889587	0.882141	
1370.319824	0.893881	0.890330	
1373.761963	0.899740	0.883801	
1377.204346	0.898562	0.890630	
1380.647217	0.884702	0.876367	
1384.090210	0.885021	0.878141	
1387.533569	0.880381	0.873980	
1390.977295	0.894548	0.883603	
1394.421265	0.877481	0.874600	
1397.865601	0.888313	0.884048	
1401.310303	0.880476	0.876294	
1404.755249	0.895959	0.891483	
1408.200562	0.882862	0.877201	
1411.646240	0.896560	0.892653	
1415.092285	0.891286	0.883856	
1418.538574	0.897903	0.892709	
1421.985352	0.897635	0.883637	
1425.432373	0.906663	0.895209	
1428.879761	0.890506	0.884196	
1432.327515	0.899568	0.895343	
1435.775635	0.892062	0.886728	
1439.224243	0.899335	0.895610	
1442.673096	0.895817	0.891224	
1446.122314	0.902840	0.893402	
1449.571899	0.888426	0.886885	
1453.021851	0.901651	0.897429	
1456.472290	0.894996	0.887775	
1459.923096	0.898683	0.895660	
1463.374268	0.891373	0.887704	
1466.825684	0.904907	0.899514	
1470.277588	0.896364	0.885436	
1473.729980	0.912984	0.898981	
1477.182739	0.890859	0.886225	
1480.635864	0.904550	0.899432	
1484.089355	0.888284	0.887906	
1487.543335	0.902528	0.899040	
1490.997681	0.903431	0.884414	
1494.452393	0.909943	0.901366	
1497.907715	0.897548	0.884283	
1501.363281	0.903535	0.900567	
1504.819336	0.889706	0.883288	
1508.275879	0.905637	0.898641	
1511.732788	0.887362	0.883096	
1515.190186	0.906531	0.896374	
1518.647949	0.895733	0.881522	
1522.106201	0.898107	0.889246	
1525.564819	0.894014	0.884292	
1529.024048	0.900865	0.892760	
1532.483643	0.899812	0.885689	
1535.943604	0.896372	0.889953	
1539.404053	0.894270	0.886185	
1542.865112	0.887041	0.886908	
1546.326538	0.896670	0.886174	
1549.788330	0.886032	0.884341	
1553.250732	0.889799	0.887399	
1556.713623	0.886198	0.886375	
1560.177002	0.897840	0.887549	
1563.640869	0.893343	0.884528	
1567.105103	0.894389	0.890509	
1570.569946	0.892281	0.887535	
1574.035156	0.891789	0.890310	
1577.500977	0.884221	0.890675	
1580.967163	0.893291	0.889783	
1584.433960	0.899390	0.885955	
1587.901245	0.897897	0.890950	
1591.369019	0.893042	0.887927	
1594.837402	0.900097	0.891163	
1598.306152	0.891257	0.892273	
1601.775513	0.894754	0.894139	
1605.245361	0.898313	0.891130	
1608.715698	0.892658	0.893771	
1612.186768	0.886290	0.891695	
1615.658081	0.897774	0.892922	
1619.130127	0.899685	0.889753	
1622.602661	0.904854	0.893113	
1626.075684	0.894492	0.893168	
1629.549194	0.890970	0.894134	
1633.023438	0.892526	0.891797	
1636.498169	0.897536	0.889381	
1639.973389	0.892537	0.890860	
1643.449219	0.898070	0.890362	
1646.925537	0.903375	0.893121	
1650.402588	0.896069	0.889660	
1653.880127	0.896499	0.890286	
1657.358032	0.893871	0.893652	
1660.836670	0.904172	0.892695	
1664.316040	0.906317	0.892344	
1667.795654	0.900420	0.893174	
1671.276123	0.900244	0.893793	
1674.757080	0.896444	0.892363	
1678.238647	0.895264	0.890730	
1681.720947	0.898005	0.892496	
1685.203491	0.893595	0.893261	
1688.686890	0.902385	0.892797	
