SQIB isotropic	n	k	e1	e2												
901.1051	2.02683	0	4.10803	0
902.67957	2.02484	0	4.09996	0
904.25403	2.02287	0	4.09201	0
905.82825	2.02093	0	4.08418	0
907.40222	2.01902	0	4.07645	0
908.9762	2.01714	0	4.06884	0
910.5498	2.01527	0	4.06133	0
912.12335	2.01344	0	4.05393	0
913.69665	2.01162	0	4.04663	0
915.26984	2.00983	0	4.03943	0
916.84277	2.00807	0	4.03233	0
918.41565	2.00632	0	4.02533	0
919.98816	2.0046	0	4.01842	0
921.56067	2.0029	0	4.0116	0
923.13293	2.00122	0	4.00488	0
924.70496	1.99956	0	3.99824	0
926.27685	1.99792	0	3.99169	0
927.84851	1.9963	0	3.98523	0
929.42011	1.9947	0	3.97885	0
930.99139	1.99313	0	3.97255	0
932.56262	1.99156	0	3.96633	0
934.13361	1.99002	0	3.96019	0
935.70441	1.9885	0	3.95413	0
937.27502	1.98699	0	3.94814	0
938.8454	1.98551	0	3.94223	0
940.41565	1.98403	0	3.93639	0
941.98566	1.98258	0	3.93062	0
943.55548	1.98114	0	3.92493	0
945.12518	1.97972	0	3.9193	0
946.69464	1.97832	0	3.91374	0
948.26398	1.97693	0	3.90825	0
949.83301	1.97556	0	3.90282	0
951.40198	1.9742	0	3.89746	0
952.97058	1.97286	0	3.89216	0
954.53918	1.97153	0	3.88692	0
956.10754	1.97021	0	3.88174	0
957.67566	1.96892	0	3.87663	0
959.24353	1.96763	0	3.87157	0
960.81134	1.96636	0	3.86657	0
962.37891	1.9651	0	3.86162	0
963.94617	1.96386	0	3.85674	0
965.51337	1.96263	0	3.8519	0
967.08038	1.96141	0	3.84712	0
968.64716	1.9602	0	3.8424	0
970.21368	1.95901	0	3.83772	0
971.78009	1.95783	0	3.8331	0
973.34631	1.95666	0	3.82853	0
974.91223	1.95551	0	3.82401	0
976.47803	1.95436	0	3.81953	0
978.04358	1.95323	0	3.81511	0
979.60901	1.95211	0	3.81073	0
981.17413	1.951	0	3.8064	0
982.73907	1.9499	0	3.80211	0
984.30383	1.94881	0	3.79787	0
985.86835	1.94774	0	3.79368	0
987.43274	1.94667	0	3.78952	0
988.99689	1.94561	0	3.78542	0
990.56085	1.94457	0	3.78135	0
992.12463	1.94353	0	3.77732	0
993.68817	1.94251	0	3.77334	0
995.25147	1.94149	0	3.7694	0
996.81457	1.94049	0	3.76549	0
998.37756	1.93949	0	3.76163	0
999.94025	1.9385	0	3.7578	0
1013.38202	1.93039	0	3.72639	0
1016.81018	1.92842	0	3.71878	0
1020.23816	1.92648	0	3.71133	0
1023.6662	1.92459	0	3.70403	0
1027.09424	1.92273	0	3.69688	0
1030.52222	1.9209	0	3.68987	0
1033.95007	1.91911	0	3.68299	0
1037.37817	1.91735	0	3.67625	0
1040.80591	1.91563	0	3.66964	0
1044.23389	1.91394	0	3.66315	0
1047.66187	1.91227	0	3.65679	0
1051.08972	1.91064	0	3.65054	0
1054.51758	1.90903	0	3.64441	0
1057.94556	1.90746	0	3.6384	0
1061.37341	1.90591	0	3.63249	0
1064.80139	1.90439	0	3.62669	0
1068.22925	1.90289	0	3.62099	0
1071.65723	1.90142	0	3.6154	0
1075.08521	1.89997	0	3.6099	0
1078.51318	1.89855	0	3.6045	0
1081.94116	1.89715	0	3.59919	0
1085.36926	1.89578	0	3.59397	0
1088.79724	1.89443	0	3.58885	0
1092.22534	1.89309	0	3.5838	0
1095.65356	1.89178	0	3.57885	0
1099.08179	1.8905	0	3.57397	0
1102.51001	1.88923	0	3.56918	0
1105.93823	1.88798	0	3.56447	0
1109.36658	1.88675	0	3.55983	0
1112.79504	1.88554	0	3.55526	0
1116.22339	1.88435	0	3.55077	0
1119.65198	1.88318	0	3.54635	0
1123.08057	1.88202	0	3.542	0
1126.50916	1.88088	0	3.53772	0
1129.93787	1.87976	0	3.5335	0
1133.3667	1.87866	0	3.52935	0
1136.79565	1.87757	0	3.52527	0
1140.22449	1.8765	0	3.52124	0
1143.65356	1.87544	0	3.51728	0
1147.08276	1.8744	0	3.51337	0
1150.51196	1.87337	0	3.50953	0
1153.94116	1.87236	0	3.50574	0
1157.37061	1.87136	0	3.50201	0
1160.80005	1.87038	0	3.49833	0
1164.22974	1.86941	0	3.4947	0
1167.65942	1.86846	0	3.49113	0
1171.08923	1.86751	0	3.4876	0
1174.51916	1.86658	0	3.48413	0
1177.94922	1.86566	0	3.48071	0
1181.37939	1.86476	0	3.47733	0
1184.80981	1.86387	0	3.474	0
1188.24011	1.86299	0	3.47072	0
1191.67065	1.86212	0	3.46748	0
1195.10132	1.86126	0	3.46429	0
1198.53223	1.86041	0	3.46114	0
1201.96314	1.85958	0	3.45803	0
1205.39429	1.85875	0	3.45497	0
1208.82556	1.85794	0	3.45194	0
1212.25696	1.85714	0	3.44896	0
1215.68848	1.85634	0	3.44601	0
1219.12024	1.85556	0	3.44311	0
1222.55212	1.85479	0	3.44024	0
1225.98413	1.85402	0	3.43741	0
1229.41626	1.85327	0	3.43461	0
1232.84876	1.85253	0	3.43185	0
1236.28125	1.85179	0	3.42913	0
1239.71399	1.85106	0	3.42644	0
1243.14685	1.85035	0	3.42378	0
1246.57996	1.84964	0	3.42116	0
1250.01331	1.84894	0	3.41857	0
1253.44666	1.84825	0	3.41601	0
1256.88037	1.84756	0	3.41349	0
1260.31421	1.84689	0	3.41099	0
1263.74829	1.84622	0	3.40853	0
1267.1825	1.84556	0	3.40609	0
1270.61694	1.84491	0	3.40368	0
1274.05151	1.84426	0	3.40131	0
1277.48645	1.84363	0	3.39896	0
1280.92163	1.843	0	3.39664	0
1284.35681	1.84237	0	3.39434	0
1287.79236	1.84176	0	3.39208	0
1291.22815	1.84115	0	3.38984	0
1294.66406	1.84055	0	3.38762	0
1298.10034	1.83996	0	3.38543	0
1301.53674	1.83937	0	3.38327	0
1304.97339	1.83878	0	3.38113	0
1308.4104	1.83821	0	3.37902	0
1311.84753	1.83764	0	3.37693	0
1315.28491	1.83708	0	3.37486	0
1318.72253	1.83652	0	3.37282	0
1322.16052	1.83597	0	3.3708	0
1325.59876	1.83543	0	3.3688	0
1329.03711	1.83489	0	3.36682	0
1332.47583	1.83436	0	3.36487	0
1335.91479	1.83383	0	3.36293	0
1339.354	1.83331	0	3.36102	0
1342.79358	1.83279	0	3.35913	0
1346.23328	1.83228	0	3.35726	0
1349.67346	1.83178	0	3.35541	0
1353.11377	1.83128	0	3.35358	0
1356.55444	1.83078	0	3.35176	0
1359.99536	1.83029	0	3.34997	0
1363.43652	1.82981	0	3.3482	0
1366.87805	1.82933	0	3.34644	0
1370.31982	1.82885	0	3.34471	0
1373.76196	1.82838	0	3.34299	0
1377.20435	1.82792	0	3.34129	0
1380.64722	1.82746	0	3.33961	0
1384.09021	1.827	0	3.33794	0
1387.53357	1.82655	0	3.33629	0
1390.97729	1.82611	0	3.33466	0
1394.42126	1.82566	0	3.33304	0
1397.8656	1.82522	0	3.33144	0
1401.3103	1.82479	0	3.32986	0
1404.75525	1.82436	0	3.32829	0
1408.20056	1.82394	0	3.32674	0
1411.64624	1.82351	0	3.3252	0
1415.09228	1.8231	0	3.32368	0
1418.53857	1.82268	0	3.32218	0
1421.98535	1.82228	0	3.32069	0
1425.43237	1.82187	0	3.31921	0
1428.87976	1.82147	0	3.31774	0
1432.32751	1.82107	0	3.3163	0
1435.77564	1.82068	0	3.31486	0
1439.22424	1.82029	0	3.31344	0
1442.6731	1.8199	0	3.31203	0
1446.12231	1.81952	0	3.31064	0
1449.5719	1.81914	0	3.30926	0
1453.02185	1.81876	0	3.30789	0
1456.47229	1.81839	0	3.30654	0
1459.9231	1.81802	0	3.30519	0
1463.37427	1.81765	0	3.30387	0
1466.82568	1.81729	0	3.30255	0
1470.27759	1.81693	0	3.30124	0
1473.72998	1.81658	0	3.29995	0
1477.18274	1.81622	0	3.29867	0
1480.63586	1.81587	0	3.2974	0
1484.08936	1.81553	0	3.29614	0
1487.54334	1.81519	0	3.29489	0
1490.99768	1.81484	0	3.29366	0
1494.45239	1.81451	0	3.29244	0
1497.90772	1.81417	0	3.29122	0
1501.36328	1.81384	0	3.29002	0
1504.81934	1.81351	0	3.28883	0
1508.27588	1.81319	0	3.28765	0
1511.73279	1.81286	0	3.28648	0
1515.19019	1.81254	0	3.28532	0
1518.64795	1.81223	0	3.28417	0
1522.1062	1.81191	0	3.28303	0
1525.56482	1.8116	0	3.2819	0
1529.02405	1.81129	0	3.28078	0
1532.48364	1.81099	0	3.27967	0
1535.9436	1.81068	0	3.27857	0
1539.40405	1.81038	0	3.27747	0
1542.86511	1.81008	0	3.27639	0
1546.32654	1.80978	0	3.27532	0
1549.78833	1.80949	0	3.27426	0
1553.25073	1.8092	0	3.2732	0
1556.71362	1.80891	0	3.27215	0
1560.177	1.80862	0	3.27112	0
1563.64087	1.80834	0	3.27009	0
1567.1051	1.80806	0	3.26907	0
1570.56995	1.80778	0	3.26806	0
1574.03516	1.8075	0	3.26705	0
1577.50098	1.80722	0	3.26606	0
1580.96716	1.80695	0	3.26507	0
1584.43396	1.80668	0	3.2641	0
1587.90125	1.80641	0	3.26312	0
1591.36902	1.80615	0	3.26216	0
1594.8374	1.80588	0	3.26121	0
1598.30615	1.80562	0	3.26026	0
1601.77551	1.80536	0	3.25932	0
