;Filter 1;Filter 2
filter glass type;UG5;BG39
Reflection factor  P;0.910;0.910
Reference thickness;1.00;1.00
Filter thickness   d;3.000;3.000
?[nm];ti 1;ti 2
1009;3.77E-01;5.33E-14
1010;3.78E-01;5.72E-14
1011;3.79E-01;6.18E-14
1012;3.79E-01;6.67E-14
1013;3.80E-01;7.16E-14
1014;3.80E-01;7.69E-14
1015;3.80E-01;8.29E-14
1016;3.81E-01;8.92E-14
1017;3.82E-01;9.50E-14
1018;3.83E-01;1.01E-13
1019;3.84E-01;1.09E-13
1020;3.86E-01;1.18E-13
1021;3.87E-01;1.28E-13
1022;3.88E-01;1.39E-13
1023;3.89E-01;1.49E-13
1024;3.90E-01;1.60E-13
1025;3.91E-01;1.71E-13
1026;3.91E-01;1.82E-13
1027;3.91E-01;1.97E-13
1028;3.92E-01;2.14E-13
1029;3.92E-01;2.30E-13
1030;3.92E-01;2.47E-13
1031;3.92E-01;2.63E-13
1032;3.92E-01;2.81E-13
1033;3.93E-01;3.06E-13
1034;3.93E-01;3.34E-13
1035;3.93E-01;3.55E-13
1036;3.94E-01;3.78E-13
1037;3.94E-01;4.08E-13
1038;3.94E-01;4.42E-13
1039;3.95E-01;4.73E-13
1040;3.95E-01;5.07E-13
1041;3.96E-01;5.50E-13
1042;3.96E-01;5.95E-13
